,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
52,3670,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,108988,0,0,,1,533.3333,192.9098,0.3617,0,"MULTILINESTRING ((222036.98700000002 342282.296, 222039.972 342297.748, 222050.29100000003 342314.724, 222071.695 342340.173, 222091.44655471988 342361.9048980252), (222144.30739528575 342416.4998246182, 222148.65600000002 342421.145, 222156.72600000002 342430.438))",,,,,,,,,,,,,,,,,,,,,,,
53,3671,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,20927,0,0,,1,533.3333,37.5679,0.0704,0,"LINESTRING (222156.72600000002 342430.438, 222167.19900000002 342442.432, 222181.31800000003 342458.838)",,,,,,,,,,,,,,,,,,,,,,,
54,3672,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,15821,0,0,,1,533.3333,15.7223,0.0295,0,"LINESTRING (222236.28499999997 342528.995, 222235.99599999998 342524.346, 222235.35700000002 342519.595, 222232.468 342514.99, 222231.928 342514.354)",,,,,,,,,,,,,,,,,,,,,,,
55,3673,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,154997,0,0,,1,533.3333,45.1243,0.0846,0,"LINESTRING (222231.928 342514.354, 222224.99 342506.175, 222201.17700000003 342481.351)",,,,,,,,,,,,,,,,,,,,,,,
56,3674,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,67651,0,0,,1,533.3333,30.0218,0.0563,0,"LINESTRING (222201.17700000003 342481.351, 222200 342480.124, 222189.94400000002 342468.676, 222181.31800000003 342458.838)",,,,,,,,,,,,,,,,,,,,,,,
57,3679,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,77943,0,0,,1,533.3333,28.4896,0.0534,0,"LINESTRING (222036.98700000002 342282.296, 222046.82299999997 342273.404, 222059.33399999997 342264.719)",,,,,,,,,,,,,,,,,,,,,,,
58,3682,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,31406,0,0,,1,533.3333,16.4425,0.0308,0,"LINESTRING (222059.33399999997 342264.719, 222071.178 342253.314)",,,,,,,,,,,,,,,,,,,,,,,
59,3683,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,108996,0,0,,1,533.3333,23.9161,0.0448,0,"LINESTRING (222071.178 342253.314, 222082.53600000002 342247.536, 222092.93099999998 342243.44)",,,,,,,,,,,,,,,,,,,,,,,
60,3684,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,157,0,0,,1,533.3333,63.5766,0.1192,0,"LINESTRING (222092.93099999998 342243.44, 222109.001 342242.954, 222123.69799999997 342246.151, 222134.22600000002 342250.203, 222140.713 342259.007, 222143.66787424075 342263.2168420735)",,,,,,,,,,,,,,,,,,,,,,,
61,3685,5009291.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,83168,0,0,,1,533.3333,56.7672,0.1064,0,"LINESTRING (222059.33399999997 342264.719, 222069.22600000002 342274.074, 222077.75799999997 342278.715, 222084.44199999998 342280.043, 222087.85600000003 342281.969, 222091.78000000003 342285.517, 222095.702 342288.614, 222098.79200000002 342290.692, 222100.532 342292.905, 222102.89500000002 342298.288)",,,,,,,,,,,,,,,,,,,,,,,
62,3686,5009289.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,108997,0,0,,1,533.3333,62.6895,0.1175,0,"LINESTRING (222071.178 342253.314, 222067.08899999998 342247.743, 222054.734 342236.28, 222047.54700000002 342231.08, 222038.93099999998 342232.165, 222031.026 342234.968, 222026.13 342235.403, 222018.08500000002 342236.009)",,,,,,,,,,,,,,,,,,,,,,,
63,3687,5009292.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,114179,0,0,,1,533.3333,46.6095,0.0874,0,"LINESTRING (222087.343 342213.358, 222090.41425201745 342213.39093335497)",,,,,,,,,,,,,,,,,,,,,,,
64,3688,5009290.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,114180,0,0,,1,533.3333,54.7586,0.1027,0,"LINESTRING (222087.3874076579 342211.43634331843, 222087.343 342213.358)",,,,,,,,,,,,,,,,,,,,,,,
65,3689,5009290.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,57362,0,0,,1,533.3333,30.6607,0.0575,0,"LINESTRING (222092.93099999998 342243.44, 222088.00300000003 342221.752, 222087.343 342213.358)",,,,,,,,,,,,,,,,,,,,,,,
