Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
41,79282,5009359.0,U,YOAN ROAD,912.0,0.0,2006-11-07,U6501,142014,0,0,1,533.3333,114.9161,0.2155,0,"LINESTRING (223442.35600000003 345170.598, 223447.28100000002 345184.588, 223451.396 345193.972, 223455.67599999998 345200, 223455.762 345200.12, 223458.603 345202.699, 223461.70799999998 345204.546, 223466.059 345206.225, 223473.076 345207.286, 223481.15658707017 345207.9584340658)"
42,79544,5009538.0,U,WESLEY STREET,15542.0,0.0,2006-11-07,U6523,33829,0,0,1,533.3333,43.2027,0.081,0,"LINESTRING (223310.96399999998 344279.561, 223305.326 344271.014, 223294.119 344251.744, 223288.602 344242.609)"
43,79545,5009538.0,U,WESLEY STREET,15542.0,0.0,2006-11-07,U6523,126708,0,0,1,533.3333,27.6056,0.0518,0,"LINESTRING (223288.602 344242.609, 223286.78399999999 344239.596, 223282.94900000002 344231.425, 223276.39399999997 344217.866)"
44,79606,5009533.0,U,DARLING STREET,4754.0,0.0,2006-11-07,U6523,106178,0,0,1,533.3333,66.5959,0.1249,0,"LINESTRING (223367.66700000002 344244.637, 223341.68099999998 344260.455, 223310.96399999998 344279.561)"
45,79607,5009533.0,U,DARLING STREET,4754.0,0.0,2006-11-07,U6523,121590,0,0,1,533.3333,112.0184,0.21,0,"LINESTRING (223310.96399999998 344279.561, 223287.66700000002 344294.593, 223273.53000000003 344302.905, 223264.907 344306.769, 223209.641 344325.779)"
46,79746,5000984.0,U,CREVENISH ROAD,33096.0,0.0,2006-11-07,C0409,44137,0,0,1,533.3333,580.5004,1.0884,0,"LINESTRING (218680.8550207051 360174.416981839, 218668.20799999998 360178.958, 218652.53569358215 360185.06134291703)"
47,81300,5009357.0,U,CORBAN AVENUE,11415.0,0.0,2006-11-07,U6501,147160,0,0,1,533.3333,18.0715,0.0339,0,"LINESTRING (223394.80599999998 345226.93, 223400 345209.621)"
48,81301,5009357.0,U,CORBAN AVENUE,11415.0,0.0,2006-11-07,U6501,131833,0,0,1,533.3333,21.2519,0.0398,0,"LINESTRING (223422.14500000002 345176.774, 223430.84100000001 345173.474, 223439.233 345170.746, 223442.35600000003 345170.598)"
49,81540,5009532.0,U,CHURCH STREET,8365.0,0.0,2006-11-07,U6523,85413,0,0,1,533.3333,119.8042,0.2246,0,"LINESTRING (223367.66700000002 344244.637, 223385.49599999998 344234.062, 223393.73344956493 344229.17598382465)"
50,85233,5009346.0,U,BRAESIDE PARK,13393.0,0.0,2006-11-07,U6501,75263,0,0,1,533.3333,27.1522,0.0509,0,"LINESTRING (223374.28100000002 345064.291, 223379.20400000003 345061.302, 223387.4426454094 345055.9226695921)"
51,90899,0.0,U,OLD ROSSORRY ROAD,526.0,0.0,2006-11-07,,157715,0,0,1,533.3333,839.8633,1.5747,0,"LINESTRING (222258.53728894176 342584.9741259978, 222255.36800000002 342578.282, 222248.157 342561.868, 222246.249 342557.572, 222242.935 342550.108, 222239.55 342543.852, 222237.863 342538.449, 222237.12 342535.747, 222236.631 342530.747, 222236.62758824552 342530.7297242953)"
52,93637,5009539.0,U,WELLINGTON PLACE,15553.0,0.0,2006-11-07,U6523,101486,0,0,1,533.3333,52.4118,0.0983,0,"LINESTRING (223240.624 344238.589, 223233.43 344222.115, 223221.892 344196.777, 223217.99699999997 344191.456)"
53,93688,5016963.0,U,ROSCOR BRIDGE ROAD,35125.0,0.0,2006-11-07,C0710,101488,0,0,1,533.3333,143.6075,0.2693,0,"LINESTRING (198650.22653062904 358634.97529781656, 198664.83299999998 358594.571, 198679.75 358552.871, 198686.89299999998 358529.722)"
