,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
35,3814,5009514.0,U,CROSS STREET,5072.0,0.0,2006-11-07,U6517,62485,0,0,,1,533.3333,31.1861,0.0585,0,"LINESTRING (223515.961 344210.264, 223516.104 344207.315, 223516.62900000002 344203.043, 223518.006 344198.652, 223518.31886371892 344197.8658616379)",,,,,,,,,,,,,,,,,,,,,,,
36,4114,5000690.0,B,KILLADEAS ROAD,34030.0,0.0,2006-11-07,B0082,88104,0,0,,1,1066.6667,94.8515,0.0889,0,"LINESTRING (219115.55594950568 360528.99766996346, 219117.50400000002 360532.43, 219121.72499999998 360539.236)",,,,,,,,,,,,,,,,,,,,,,,
37,4145,5000675.0,B,MONEA ROAD,0.0,0.0,2006-11-07,B0081,62337,0,0,,1,1066.6667,53.9815,0.0506,0,"LINESTRING (221853.56900000002 345156.864, 221847.87900000002 345146.82, 221841.049 345138.665, 221833.93099999998 345131.982, 221822.51899999997 345121.637, 221817.202 345117.67)",,,,,,,,,,,,,,,,,,,,,,,
38,4680,5009357.0,U,CORBAN AVENUE,11415.0,0.0,2006-11-07,U6501,51998,0,0,,1,533.3333,32.2088,0.0604,0,"LINESTRING (223442.35600000003 345170.598, 223451.287 345166.151, 223463.11599999998 345161.677, 223472.088 345158.304)",,,,,,,,,,,,,,,,,,,,,,,
39,4703,5009522.0,U,HEAD STREET,14812.0,0.0,2006-11-07,U6519,57282,0,0,,1,533.3333,125.6002,0.2355,0,"LINESTRING (223337.947 344344.03, 223313.85600000003 344355.725, 223294.35700000002 344365.033, 223288.24300000002 344367.639, 223262.17599999998 344375.461, 223220.304 344386.693)",,,,,,,,,,,,,,,,,,,,,,,
40,4704,5009520.0,U,HALLS LANE,14690.0,0.0,2006-11-07,U6518,154936,0,0,,1,533.3333,77.3946,0.1451,0,"LINESTRING (223402.782 344313.56, 223400 344308.781, 223391.84600000002 344291.874, 223379.32 344265.499, 223367.66700000002 344244.637)",,,,,,,,,,,,,,,,,,,,,,,
41,6423,5009522.0,U,HEAD STREET,14812.0,0.0,2006-11-07,U6519,52217,0,0,,1,533.3333,71.6412,0.1343,0,"LINESTRING (223402.782 344313.56, 223400 344314.838, 223367.777 344329.635, 223337.947 344344.03)",,,,,,,,,,,,,,,,,,,,,,,
42,6790,5001828.0,A,WELLINGTON ROAD,36968.0,0.0,2006-11-07,A0004,5401,0,0,,1,1466.6667,32.6925,0.0223,0,"LINESTRING (223400 344079.259, 223379.80099999998 344104.965)",,,,,,,,,,,,,,,,,,,,,,,
43,7892,5009231.0,U,ORCHARD COURT,30887.0,0.0,2006-11-07,U6300,31560,0,0,,1,533.3333,101.4843,0.1903,0,"LINESTRING (222128.26074625753 342664.6524560167, 222125.32299999997 342649.991, 222124.722 342646.684, 222125.12199999997 342643.804, 222126.515 342640.798, 222137.87800000003 342631.445, 222140.5 342629.306, 222151.72499999998 342625.594, 222172.072 342618.092)",,,,,,,,,,,,,,,,,,,,,,,
44,7905,5009531.0,U,HIGH STREET,4220.0,0.0,2006-11-07,U6523,36649,0,0,,1,533.3333,26.6179,0.0499,0,"LINESTRING (223464.40000000002 344175.343, 223468.15600000002 344170.607, 223480.776 344154.359)",,,,,,,,,,,,,,,,,,,,,,,
45,7996,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,41932,0,0,,1,1466.6667,129.5705,0.0883,0,"LINESTRING (203314.75300000003 358319.313, 203245.68300000002 358307.182, 203207.925 358300.974, 203187.049 358297.408)",,,,,,,,,,,,,,,,,,,,,,,
46,8021,5016972.0,A,Q.ELIZABETH ROUNDABOUT,0.0,0.0,2006-11-07,,144906,0,0,,1,1466.6667,19.0236,0.013,0,"LINESTRING (223462.439 344394.304, 223463.42700000003 344396.31, 223463.96500000003 344398.388, 223464.104 344400, 223462.43199999997 344404.213, 223458.43 344407.159, 223455.255 344408.681)",,,,,,,,,,,,,,,,,,,,,,,
47,8699,5016970.0,C,QUEEN ELIZABETH ROAD,6988.0,0.0,2006-11-07,C0709,160254,0,0,,1,666.6667,134.6316,0.2019,0,"MULTILINESTRING ((223462.439 344394.304, 223468.25400000002 344391.589, 223477.902 344387.647, 223487.43199999997 344382.579, 223487.501 344382.538, 223490.30230358595 344380.8840267554), (223518.86349798035 344361.1536629396, 223528.102 344353.124, 223539.212 344342.941, 223548.847 344332.749, 223558.43699999998 344321.607, 223566.66999999998 344311.732))",,,,,,,,,,,,,,,,,,,,,,,
48,9557,5000305.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,114240,0,0,,1,1466.6667,114.438,0.078,0,"LINESTRING (201607.41989472936 357810.26864369836, 201612.34499999997 357811.611)",,,,,,,,,,,,,,,,,,,,,,,
49,12312,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,129653,0,0,,1,533.3333,38.956,0.073,0,"LINESTRING (222060.146 342415.668, 222058.963 342410.006, 222058.10100000002 342403.914, 222057.38400000002 342400, 222056.30494494006 342394.11608619615)",,,,,,,,,,,,,,,,,,,,,,,
50,14669,5000218.0,A,IRVINESTOWN ROAD,30402.0,0.0,2006-11-07,A0032,119504,0,0,,1,1466.6667,391.1437,0.2667,0,"LINESTRING (223612.321 348399.49, 223623.64899999998 348367.701, 223634.325 348327.254, 223639.83500000002 348290.077, 223642.702 348260.585, 223640.864 348214.66, 223639.913 348144.732, 223637.97100000002 348081.649, 223638.956 348022.788, 223639.30699999997 348012.322)",,,,,,,,,,,,,,,,,,,,,,,
51,14767,5000296.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,93696,0,0,,1,1466.6667,171.2431,0.1168,0,"LINESTRING (213454.90399999998 354961.878, 213451.137 354926.762, 213449.82211910936 354903.92410424707)",,,,,,,,,,,,,,,,,,,,,,,
52,14774,5011005.0,U,,0.0,0.0,2006-11-07,,42122,0,0,,1,533.3333,350.1802,0.6566,0,"LINESTRING (218144.81199999998 357216.098, 218193.994 357227.205, 218233.489 357236.322, 218244.14058065016 357238.79790092673)",,,,,,,,,,,,,,,,,,,,,,,
53,17163,5000344.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,99141,0,0,,1,1466.6667,1683.8355,1.1481,0,"MULTILINESTRING ((222236.28499999997 342528.995, 222255.012 342515.289, 222277.744 342499.24, 222316.299 342471.528, 222337.7447627228 342454.9926519262), (222645.38786280926 342003.13130878063, 222651.38900000002 341998.3, 222665.84000000003 341986.894, 222686.12199999997 341970.964, 222693.299 341965.586, 222718.77500000002 341948.486, 222739.78269867285 341933.6350005353))",,,,,,,,,,,,,,,,,,,,,,,
54,17165,5000347.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,93809,0,0,,1,1466.6667,186.9731,0.1275,0,"LINESTRING (223259.32873973696 340495.37394550856, 223259.08899999998 340493.325, 223251.652 340451.249)",,,,,,,,,,,,,,,,,,,,,,,
